,periodo,turma_codigo,turma_descricao
0,2016-1,102,Introdução à Programação de Computadores
1,2016-1,103,Introdução à Ciência dos Computadores
2,2016-1,105,Introdução à Programação de Computadores
3,2016-1,106,Introdução à Ciência dos Computadores
4,2016-1,107,Introdução à Programação de Computadores
5,2016-1,108,Introdução à Programação de Computadores
6,2016-1,109,Introdução à Ciência dos Computadores
7,2016-1,110,Introdução à Ciência dos Computadores
8,2016-1,111,Introdução à Programação de Computadores
9,2016-2,122,Introdução à Programação de Computadores
10,2016-2,124,Introdução à Programação de Computadores
11,2016-2,125,Introdução à Ciência dos Computadores
12,2016-2,127,Introdução à Ciência dos Computadores
13,2016-2,128,Introdução à Ciência dos Computadores
14,2017-1,135,Introdução à Programação de Computadores
15,2017-1,136,Introdução à Ciência dos Computadores
16,2017-1,137,Introdução à Ciência dos Computadores
17,2017-1,138,Introdução à Ciência dos Computadores
18,2017-1,139,Introdução à Programação de Computadores
19,2017-1,140,Introdução à Programação de Computadores
20,2017-1,141,Introdução à Ciência dos Computadores
21,2017-1,142,Introdução à Programação de Computadores
22,2017-1,143,Introdução à Programação de Computadores
23,2017-1,144,Introdução à Ciência dos Computadores
24,2017-2,160,Introdução à Programação de Computadores
25,2017-2,162,Introdução à Ciência dos Computadores
26,2017-2,163,Introdução à Ciência dos Computadores
27,2017-2,164,Introdução à Ciência dos Computadores
28,2017-2,165,Introdução à Programação de Computadores
29,2018-1,180,Introdução à Ciência dos Computadores
30,2018-1,181,Introdução à Ciência dos Computadores
31,2018-1,183,Introdução à Ciência dos Computadores
32,2018-1,185,Introdução à Ciência dos Computadores
33,2018-1,186,Introdução à Programação de Computadores
34,2018-1,187,Introdução à Programação de Computadores
35,2018-1,188,Introdução à Programação de Computadores
36,2018-1,189,Introdução à Programação de Computadores
37,2018-1,190,Introdução à Programação de Computadores
38,2018-2,204,Introdução à Programação de Computadores
39,2018-2,205,Introdução à Ciência dos Computadores
40,2018-2,206,Introdução à Ciência dos Computadores
41,2018-2,207,Introdução à Ciência dos Computadores
42,2018-2,208,Introdução à Programação de Computadores
43,2019-1,220,Introdução à Ciência dos Computadores
44,2019-1,221,Introdução à Ciência dos Computadores
45,2019-1,222,Introdução à Ciência dos Computadores
46,2019-1,223,Introdução à Programação de Computadores
47,2019-1,224,Introdução à Programação de Computadores
48,2019-1,225,Introdução à Programação de Computadores
49,2019-1,226,Introdução à Programação de Computadores
50,2019-1,230,Introdução à Ciência dos Computadores
51,2019-1,231,Introdução à Programação de Computadores
